Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-II.NFO,03/01/2022,13:07:22,17653.55,17653.95,250,17657,50,0,828250
NIFTY-II.NFO,03/01/2022,13:07:23,17653.55,17653.6,250,17656.8,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:24,17653.55,17653.75,250,17656.95,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:25,17653.55,17653.75,350,17656.95,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:26,17653.55,17653.25,250,17656.45,50,0,828250
NIFTY-II.NFO,03/01/2022,13:07:27,17653.55,17653,250,17655.85,50,0,828250
NIFTY-II.NFO,03/01/2022,13:07:28,17653.55,17652.9,250,17655.85,50,0,828250
NIFTY-II.NFO,03/01/2022,13:07:29,17653.55,17653.05,250,17656.15,50,0,828250
NIFTY-II.NFO,03/01/2022,13:07:30,17653.55,17653.05,250,17656.05,50,0,828250
NIFTY-II.NFO,03/01/2022,13:07:31,17653.55,17652.95,250,17655.75,50,0,828250
NIFTY-II.NFO,03/01/2022,13:07:32,17653.55,17652.95,250,17655.85,50,0,828250
NIFTY-II.NFO,03/01/2022,13:07:33,17653.55,17652.8,250,17655.45,50,0,828250
NIFTY-II.NFO,03/01/2022,13:07:34,17653.55,17652.8,250,17655.65,50,0,828250
NIFTY-II.NFO,03/01/2022,13:07:35,17653.55,17652.85,250,17656.15,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:36,17653.55,17652.95,250,17656.1,50,0,828250
NIFTY-II.NFO,03/01/2022,13:07:37,17653.55,17653.15,250,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:07:39,17653.15,17653.15,250,17655,150,50,828250
NIFTY-II.NFO,03/01/2022,13:07:40,17653.15,17653.15,200,17655,150,50,828250
NIFTY-II.NFO,03/01/2022,13:07:42,17653.15,17652.65,150,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:07:42,17652.65,17652.65,100,17655,150,50,828250
NIFTY-II.NFO,03/01/2022,13:07:43,17655,17652.6,100,17655,100,100,828250
NIFTY-II.NFO,03/01/2022,13:07:44,17655,17652.65,100,17655,100,0,828250
NIFTY-II.NFO,03/01/2022,13:07:45,17655,17652.6,50,17655,100,0,828250
NIFTY-II.NFO,03/01/2022,13:07:47,17655,17652.3,100,17655,100,0,828250
NIFTY-II.NFO,03/01/2022,13:07:48,17655,17652.3,100,17654.9,50,0,828250
NIFTY-II.NFO,03/01/2022,13:07:49,17655,17652.5,100,17655,100,0,828250
NIFTY-II.NFO,03/01/2022,13:07:50,17655,17652.6,100,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:07:53,17652.65,17652.8,50,17655,150,50,828250
NIFTY-II.NFO,03/01/2022,13:07:54,17652.65,17652.85,50,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:07:56,17652.65,17652.95,50,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:07:57,17652.8,17652.8,100,17655,150,250,828250
NIFTY-II.NFO,03/01/2022,13:07:57,17652.8,17652.8,100,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:07:58,17652.8,17652.85,100,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:08:01,17652.8,17652.35,50,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:08:02,17652.8,17652.45,150,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:08:03,17652.8,17652.7,100,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:08:04,17652.8,17652.2,250,17654.9,50,0,828250
NIFTY-II.NFO,03/01/2022,13:08:05,17652.8,17652.2,300,17654.9,50,0,828250
NIFTY-II.NFO,03/01/2022,13:08:07,17652.8,17652.4,100,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:08:09,17652.8,17652.25,50,17654.85,50,0,828250
NIFTY-II.NFO,03/01/2022,13:08:13,17652.8,17652.25,50,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:08:13,17652.8,17652.8,100,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:08:14,17652.8,17652.95,100,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:08:17,17652.8,17652.6,250,17655,150,0,828250
NIFTY-II.NFO,03/01/2022,13:08:18,17652.8,17652.6,250,17655,300,0,828250
NIFTY-II.NFO,03/01/2022,13:08:19,17652.8,17652.7,100,17655,300,0,828250
NIFTY-II.NFO,03/01/2022,13:08:20,17652.8,17652.6,250,17655,300,0,828250
NIFTY-II.NFO,03/01/2022,13:08:23,17652.8,17652.25,50,17655,300,0,828250
NIFTY-II.NFO,03/01/2022,13:08:24,17652.8,17652.4,300,17655,300,0,828250
NIFTY-II.NFO,03/01/2022,13:08:25,17652.8,17652.45,100,17655,300,0,828250
NIFTY-II.NFO,03/01/2022,13:08:26,17652.8,17652.55,100,17655,300,0,828250
NIFTY-II.NFO,03/01/2022,13:08:27,17652.8,17652.6,150,17655,300,0,828250
NIFTY-II.NFO,03/01/2022,13:08:28,17652.8,17652.6,150,17654.95,50,0,828250
NIFTY-II.NFO,03/01/2022,13:08:30,17652.8,17652.6,150,17654.9,50,0,828250
NIFTY-II.NFO,03/01/2022,13:08:33,17652.8,17652.2,50,17654.95,50,0,828250
NIFTY-II.NFO,03/01/2022,13:08:34,17652.8,17652.35,50,17654.95,450,0,828250
NIFTY-II.NFO,03/01/2022,13:08:35,17652.8,17652.35,50,17654.75,50,0,828250
NIFTY-II.NFO,03/01/2022,13:08:38,17652.8,17652,50,17654.6,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:39,17652.8,17652.05,50,17654.6,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:41,17652.8,17652.05,50,17654.7,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:42,17652.8,17652.05,50,17654.6,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:43,17652.8,17652.05,50,17654.5,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:45,17652.8,17652.05,50,17654.65,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:46,17652.8,17652.05,50,17654.2,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:47,17652.8,17652.05,50,17654,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:48,17652.8,17652,50,17653.9,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:49,17652.8,17652,50,17653.75,50,0,828250
NIFTY-II.NFO,03/01/2022,13:08:50,17652.8,17652.05,50,17653.55,50,0,828250
NIFTY-II.NFO,03/01/2022,13:08:51,17652.8,17652.05,50,17652.9,50,0,828250
NIFTY-II.NFO,03/01/2022,13:08:52,17651.65,17650,50,17652.05,400,150,828250
NIFTY-II.NFO,03/01/2022,13:08:53,17651.65,17650,50,17652.6,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:54,17651.65,17650,50,17652.75,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:55,17651.65,17650,50,17652.7,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:56,17651.65,17650,50,17652.9,50,0,828250
NIFTY-II.NFO,03/01/2022,13:08:57,17651.65,17650,50,17652.85,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:58,17651.65,17650,50,17652.7,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:58,17651.65,17650,50,17652.6,400,0,828250
NIFTY-II.NFO,03/01/2022,13:08:59,17651.65,17650,50,17652.65,400,0,828250
NIFTY-II.NFO,03/01/2022,13:09:01,17651.65,17650,50,17652.9,50,0,828250
NIFTY-II.NFO,03/01/2022,13:09:02,17652.9,17650.15,100,17653.25,150,50,828250
NIFTY-II.NFO,03/01/2022,13:09:03,17652.9,17650,50,17652.95,400,0,828250
NIFTY-II.NFO,03/01/2022,13:09:04,17652.9,17650,50,17652.9,400,0,828250
NIFTY-II.NFO,03/01/2022,13:09:06,17652.9,17650,100,17653,400,0,828250
NIFTY-II.NFO,03/01/2022,13:09:07,17652.9,17650,100,17652.85,400,0,828250
NIFTY-II.NFO,03/01/2022,13:09:08,17652.9,17650,100,17653.25,400,0,828250
NIFTY-II.NFO,03/01/2022,13:09:11,17652.9,17650,100,17653.15,400,0,828250
NIFTY-II.NFO,03/01/2022,13:09:12,17650,17649.35,150,17652.3,400,100,828350
NIFTY-II.NFO,03/01/2022,13:09:13,17650,17649.5,100,17653.1,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:13,17650,17649.4,100,17653.1,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:14,17650,17649.4,100,17653.05,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:16,17650,17649.4,100,17653.15,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:17,17650,17649.4,100,17653.1,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:19,17650,17649.35,50,17653.15,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:20,17650.05,17650.05,100,17653.45,150,50,828350
NIFTY-II.NFO,03/01/2022,13:09:21,17650.05,17650.05,100,17653.5,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:22,17650.05,17650.7,100,17654.95,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:23,17650.05,17651.3,50,17654.95,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:24,17650.05,17650.25,100,17654.15,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:25,17650.05,17650.15,50,17654.05,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:26,17650.05,17650.65,150,17654.65,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:27,17650.05,17650.75,100,17654.65,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:28,17650.05,17650.35,50,17654.2,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:29,17650.05,17650.05,50,17653.4,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:30,17650.05,17650.05,200,17654.25,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:31,17650.05,17650.7,150,17654.2,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:32,17650.05,17651.8,50,17654.65,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:33,17650.05,17651.6,50,17654.65,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:36,17650.05,17651,100,17654.65,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:37,17650.05,17651.4,150,17654.65,400,0,828350
NIFTY-II.NFO,03/01/2022,13:09:38,17650.05,17651.8,150,17654.7,50,0,828350
NIFTY-II.NFO,03/01/2022,13:09:39,17650.05,17652.2,150,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:40,17650.05,17652.3,100,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:41,17650.05,17653.9,50,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:42,17650.05,17653.65,50,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:44,17650.05,17653.3,100,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:46,17650.05,17653.4,100,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:47,17650.05,17652.9,50,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:48,17650.05,17652.85,100,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:50,17650.05,17652.3,50,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:53,17650.05,17652.25,100,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:54,17650.05,17652.4,50,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:55,17650.05,17652.65,100,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:57,17650.05,17652.7,100,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:58,17650.05,17652.75,100,17655,350,0,828350
NIFTY-II.NFO,03/01/2022,13:09:59,17655,17652.8,100,17655,300,50,828350
NIFTY-II.NFO,03/01/2022,13:10:00,17655,17653.15,100,17655,300,0,828350
NIFTY-II.NFO,03/01/2022,13:10:01,17655,17653.4,100,17655,300,0,828350
NIFTY-II.NFO,03/01/2022,13:10:02,17655,17653.4,100,17655,250,50,828350
NIFTY-II.NFO,03/01/2022,13:10:03,17655,17653.4,100,17655,200,50,828350
NIFTY-II.NFO,03/01/2022,13:10:04,17655,17654.5,100,17655,200,0,828350
NIFTY-II.NFO,03/01/2022,13:10:05,17655,17654.75,100,17657.65,150,200,828350
NIFTY-II.NFO,03/01/2022,13:10:06,17657.6,17654.75,100,17657.6,400,100,828350
NIFTY-II.NFO,03/01/2022,13:10:07,17657.6,17654.8,250,17658.15,400,50,828350
NIFTY-II.NFO,03/01/2022,13:10:08,17654.55,17654.75,50,17657.95,400,100,828350
NIFTY-II.NFO,03/01/2022,13:10:09,17654.55,17656.25,50,17659.7,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:10,17654.55,17656.1,50,17659.5,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:11,17654.55,17657,50,17660,100,0,828350
NIFTY-II.NFO,03/01/2022,13:10:12,17654.55,17657.8,50,17660,100,0,828350
NIFTY-II.NFO,03/01/2022,13:10:13,17654.55,17657.65,50,17660,100,0,828350
NIFTY-II.NFO,03/01/2022,13:10:14,17654.55,17657.55,50,17660,100,0,828350
NIFTY-II.NFO,03/01/2022,13:10:15,17654.55,17657.55,150,17660,100,0,828350
NIFTY-II.NFO,03/01/2022,13:10:17,17654.55,17657.65,50,17660,100,0,828350
NIFTY-II.NFO,03/01/2022,13:10:18,17654.55,17657.65,150,17660,100,0,828350
NIFTY-II.NFO,03/01/2022,13:10:19,17660,17657.7,100,17660,50,50,828350
NIFTY-II.NFO,03/01/2022,13:10:20,17660,17655.95,50,17659.3,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:22,17660,17656.45,50,17659.9,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:23,17660,17657.25,50,17659.95,50,0,828350
NIFTY-II.NFO,03/01/2022,13:10:24,17660,17656.65,50,17659.8,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:25,17660,17656.85,150,17660,50,0,828350
NIFTY-II.NFO,03/01/2022,13:10:26,17660,17656.65,50,17659.5,150,0,828350
NIFTY-II.NFO,03/01/2022,13:10:27,17660,17656.75,50,17659.85,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:29,17660,17656.1,50,17659.3,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:30,17660,17656.1,100,17659.1,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:31,17660,17655.1,50,17657.85,50,0,828350
NIFTY-II.NFO,03/01/2022,13:10:32,17660,17655.05,300,17657.7,150,0,828350
NIFTY-II.NFO,03/01/2022,13:10:33,17660,17655.05,300,17657.5,150,0,828350
NIFTY-II.NFO,03/01/2022,13:10:34,17660,17655.05,300,17657.45,150,0,828350
NIFTY-II.NFO,03/01/2022,13:10:35,17660,17655.3,50,17657.5,150,0,828350
NIFTY-II.NFO,03/01/2022,13:10:36,17657.5,17655.4,50,17657.85,50,100,828350
NIFTY-II.NFO,03/01/2022,13:10:37,17657.5,17655.65,100,17658.25,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:38,17657.5,17655.55,50,17658.45,50,0,828350
NIFTY-II.NFO,03/01/2022,13:10:39,17657.5,17656.1,100,17658.6,150,0,828350
NIFTY-II.NFO,03/01/2022,13:10:40,17657.5,17655.7,150,17658.8,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:41,17657.5,17656.2,150,17659,150,0,828350
NIFTY-II.NFO,03/01/2022,13:10:42,17657.5,17655.55,50,17659,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:43,17657.5,17655.55,50,17658.85,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:44,17657.5,17655.55,150,17658.95,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:45,17657.5,17656.05,50,17658.95,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:46,17657.5,17656.05,50,17659,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:47,17657.5,17655.45,150,17659.1,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:48,17657.5,17655.65,50,17659,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:49,17657.5,17655.55,50,17658.8,400,0,828350
NIFTY-II.NFO,03/01/2022,13:10:50,17657.5,17655.55,50,17658.75,400,0,828350
